id,english,japanese,example,
379,dozen,12の/ダースの(形)/12個/1ダース(名),We ordered two ____ bottles of water for the conference room.,
380,proceed,進む/続ける,Once the contract is signed we can ____ with the installation.,
381,connection,接続/関係/乗り継ぎ/コネ,There seems to be a problem with the internet ____ in this area.,
382,rush,急ぎの(形)/急ぐ(動)/急ぎ(名),We placed a ____ order to ensure delivery before the deadline.,
383,preserve,保護する/保存する(動)/保護区/ジャム(名),The company is committed to ____ ing the local environment.,
384,crop,収穫高/作物/収穫物(名)/刈り取る/切り詰める(動),The region's main ____ s include rice wheat and soybeans.,
385,aim,向ける/狙う/目指す(動)/目標/目的(名),We ____ to complete the project two weeks ahead of schedule.,
386,normally,普通は/いつもは,The office ____ opens at 9 a.m. from Monday to Friday.,
387,attempt,試み(名)/試みる/挑戦する(動),This is our second ____ to negotiate a deal with the supplier.,
388,factor,要因/要素,Price is an important ____ when choosing a supplier.,
389,election,選挙/当選,The ____ for the new board members will be held next month.,
390,promising,前途有望な/見込みのある,The new recruit shows ____ signs of becoming a strong leader.,
391,accurate,正確な,Please make sure all figures in the report are ____ before submitting.,
392,finding,(研究・調査などの)結果/発見,The ____ s of the survey will be shared with all staff next week.,
393,slightly,わずかに/少し,The delivery time was ____ longer than expected due to high demand.,
394,native,固有の/自生の/母国の(形)/現地人/土着の人(名),She is a ____ speaker of Japanese and also fluent in English.,
395,economic,経済(上)の,The company is monitoring the ____ situation before expanding.,
396,settle,慣れる/落ち着く/決める/解決する,Both parties agreed to ____ the dispute outside of court.,
397,practical,実践的な/実用的な/現実的な,The training includes both theoretical and ____ components.,
398,scholarship,奨学金,She received a ____ to study business administration abroad.,
399,import,輸入する(動)/輸入品/輸入(名),The company plans to ____ raw materials from overseas suppliers.,
400,atmosphere,雰囲気/大気(圏),The new office design creates a comfortable and productive ____.,
401,supervisor,上司/監督者/管理者,Please report any issues directly to your ____.,
402,storage,保管/貯蔵,We need more ____ space for the new inventory.,
403,invoice,請求書,Please send the ____ to our accounting department by Friday.,
404,associate,関連付ける(動)/同僚/仲間(名)/準の(形),The report ____ s the increase in sales with the new marketing strategy.,
405,revise,修正する/改定する/見直す,Could you please ____ the proposal before sending it to the client?,
406,appliance,家電製品/電化製品,The store offers a wide range of kitchen ____ s at competitive prices.,
407,ensure,確実に～するようにする/確実にする/保証する,Please ____ that all documents are signed before the deadline.,
408,catering,ケータリング(イベント等に飲食物を提供するサービス),We have hired a professional ____ company for the annual dinner.,
409,inventory,在庫/棚卸し,The team will conduct a full ____ check at the end of the month.,
410,warranty,保証(書),The product comes with a two-year ____ against manufacturing defects.,
411,specialize,専門にする,Our company ____ s in providing IT solutions for small businesses.,
412,retail,小売り(名)/小売りの(形)/小売りで販売する(動),The brand plans to expand into the ____ market next year.,
413,strategy,戦略,The team developed a new marketing ____ to attract younger customers.,
414,consult,相談する/(本などを)調べる,You should ____ a financial advisor before making any major investments.,
415,beverage,飲み物/飲料,The venue will provide a selection of ____ s for all attendees.,
416,notify,知らせる/通知する,Please ____ your manager at least two weeks before taking leave.,
417,agenda,議題/協議事項/アジェンダ,Could you send me the ____ for tomorrow's meeting in advance?,
418,trail,(野山の)小道,The park has several well-marked ____ s for hikers of all levels.,
419,subscription,サブスク/定期購読/定額制,The company offers a monthly ____ plan for its premium services.,
420,vendor,販売業者/露天商,We are currently reviewing proposals from three different ____ s.,
421,inspection,点検/検査/視察,The building passed its annual safety ____ without any issues.,
422,grocery,食料雑貨(店),She stopped at the ____ store on her way home from work.,
423,fabric,生地/布地/織物,The designer selected a high-quality ____ for the new uniform.,
424,paperwork,書類(作業),Please complete all the necessary ____ before your first day of work.,
425,personnel,スタッフ/職員/人事,All ____ are required to attend the mandatory safety training.,
426,inquire,問い合わせる/尋ねる,Please ____ at the front desk for more information about the event.,
427,experienced,経験豊富な,We are looking for an ____ project manager to lead the new initiative.,
428,lease,賃貸借(契約)/リース(契約)(名)/賃貸借する/リースする(動),The company signed a five-year ____ for the new office space.,
429,multiple,複数の/多数の,The new software can handle ____ tasks at the same time.,
430,assign,割り当てる/任命する/配属する,The manager will ____ each team member a specific role for the project.,
431,recruit,新規採用する/募る(動)/新入社員/新人(名),The company plans to ____ 20 new engineers by the end of the year.,
432,banquet,晩餐会/宴会,The annual ____ will be held at the Grand Hotel next Saturday.,
433,venue,会場/開催地,We are still looking for a suitable ____ for the product launch event.,
434,complimentary,(好意により)無料の,All guests will receive a ____ breakfast during their stay.,
435,conclude,結論付ける/締めくくる/終える,The chairperson will ____ the meeting with a brief summary.,
436,sculpture,彫刻,The museum's new exhibition features a collection of modern ____ s.,
437,in-person,対面の/じかの/直接の,The client requested an ____ meeting rather than a video call.,
438,relocate,移転させる/移転する/転居する,The company decided to ____ its headquarters to a larger city.,
439,ingredient,食材/成分,Please check the list of ____ s carefully if you have any allergies.,
440,anticipate,予想する/予期する,We ____ a significant increase in demand during the holiday season.,
441,extension,(電話の)内線/延長,Please dial ____ 305 to reach the sales department directly.,
442,contractor,請負業者,The company hired an outside ____ to renovate the office building.,
443,certificate,証明書/免(許)状/修了証,Employees who complete the training will receive a ____ of completion.,
444,expire,期限が切れる,Please renew your membership before it ____ s at the end of this month.,
445,assembly,組み立て/集会,The ____ instructions for the furniture are included in the box.,
446,eligible,資格のある,Employees who have worked here for over a year are ____ for the bonus.,
447,hardware,金物類/(コンピュータの)ハードウェア,We need to upgrade the computer ____ to run the new software.,
448,itinerary,旅程(表),The travel agent prepared a detailed ____ for the business trip.,
449,highlight,強調する(動)/見どころ/ハイライト(名),The presenter used bold text to ____ the key points in the report.,
450,payroll,給与(管理)/給与総額/従業員名簿,All staff information must be updated in the ____ system by Monday.,
451,affordable,(価格が)手ごろな,The company is looking for an ____ office space in the city center.,
452,administrative,管理の,She handles all ____ tasks including scheduling and correspondence.,
453,enroll,入会(入学)する/入会(入学)させる,Employees can ____ in the optional language training program.,
454,innovative,革新的な,The company is known for its ____ approach to product development.,
455,exceed,超える,This quarter's sales figures ____ ed all previous records.,
456,valid,有効な,Please make sure your passport is ____ for at least six months.,
457,refreshments,(軽い)飲食物,Light ____ will be served during the afternoon break.,
458,merger,合併,The ____ between the two companies was finalized last week.,
459,craft,工芸(品)(名)/手作りする/丁寧に作る(動),The market featured a wide variety of handmade ____ s from local artists.,
460,alternative,代わりの(形)/代替(案)(名),We need to find an ____ supplier due to the current shortage.,
461,historic,歴史上重要な/歴史のある,The conference was held at a ____ building in the heart of the city.,
462,negotiate,交渉する,Both sides agreed to ____ the terms of the contract before signing.,
463,qualified,適任の/資格のある,We are looking for a ____ candidate with at least five years of experience.,
464,receptionist,受付係,The ____ greeted all visitors warmly at the front desk.,
465,pickup,引き取り/集荷/収集/車で拾うこと,The package is ready for ____ at the front desk.,
466,evaluate,評価する,The committee will ____ all applications and contact shortlisted candidates.,
467,remodel,改築する,The company plans to ____ the office kitchen next month.,
468,patron,利用者/常連客/(芸術活動の)後援者,The restaurant offered a special discount to its regular ____ s.,
469,generate,生み出す,The new campaign is expected to ____ significant interest from customers.,
470,overnight,翌日配達の/夜通しの/一泊の(形)/一晩で/翌日に(副),We can arrange ____ delivery for an additional fee.,
471,revenue,収入/歳入/収益,The company's annual ____ increased by 20 percent this year.,
472,summary,要約/概略/概要,Please prepare a one-page ____ of the report for the board meeting.,
473,questionnaire,アンケート(用紙),All participants were asked to complete a ____ after the seminar.,
474,tourism,観光(業),The city's ____ industry has grown rapidly over the past decade.,
475,prior,前の/事前の,____ experience in customer service is preferred for this role.,
476,household,家庭(用)の/よく知られた(形)/世帯/家庭(名),The brand has become a ____ name in the cleaning products market.,
477,acquire,得る/獲得する/買収する/習得する,The company plans to ____ a smaller competitor to expand its market share.,
478,pharmacy,(調剤)薬局,The prescription can be picked up at any local ____.,
479,oversee,監督する,The project director will ____ all stages of the construction.,
480,outline,概要を説明する/要点を述べる(動)/概要/あらすじ(名),Could you ____ the main points of the proposal at the next meeting?,
481,approximately,約/およそ,The renovation will take ____ three months to complete.,
482,productivity,生産性,The new software tool has significantly improved staff ____.,
483,outstanding,素晴らしい/傑出した/未払の,There are still several ____ invoices that need to be settled.,
484,implement,実行する/導入する/実施する,The company will ____ the new policy starting from next month.,
485,publicity,宣伝/広告/注目/評判,The product launch received a great deal of positive ____.,
486,aisle,通路,Please keep the ____ clear for emergency access at all times.,
487,auditorium,講堂/観客席,The annual awards ceremony will be held in the main ____.,
488,capacity,容量/収容能力/生産能力/役割,The conference hall has a ____ of 300 people.,
489,laundry,洗濯(物),The hotel offers a ____ service for guests staying three nights or more.,
490,fund-raising,募金(活動)/資金調達,The team organized a ____ event to support the local charity.,
491,predict,予測する/予報する,Analysts ____ that the market will recover by the end of the year.,
492,reopen,(営業を)再開する/再オープンする,The renovated branch will ____ to customers next Monday.,
493,machinery,機械(類)/機器,Regular maintenance of the ____ is essential to prevent breakdowns.,
494,dealership,販売代理店/正規ディーラー,She bought her car from an authorized ____ in the city.,
495,hallway,廊下,Please do not leave any boxes in the ____ as it blocks the exit.,
496,initiative,(新たな)取り組み/新計画/主体性,The company launched a new ____ to reduce its carbon footprint.,
497,talented,才能のある,We are fortunate to have such a ____ and dedicated team.,
498,via,～によって/～経由で,The package will be shipped ____ express courier service.,
499,resolve,解決する,The customer service team worked quickly to ____ the complaint.,
500,undergo,(検査や研修などを)受ける/経験する,All new employees must ____ a two-week training program.,
501,,,,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,,,
601,,,,
602,,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,,,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,,
615,,,,
616,,,,
617,,,,
618,,,,
619,,,,
620,,,,
621,,,,
622,,,,
623,,,,
624,,,,
625,,,,
626,,,,
627,,,,
628,,,,
629,,,,
630,,,,
631,,,,
632,,,,
633,,,,
634,,,,
635,,,,
636,,,,
637,,,,
638,,,,
639,,,,
640,,,,
641,,,,
642,,,,
643,,,,
644,,,,
645,,,,
646,,,,
647,,,,
648,,,,
649,,,,
650,,,,
651,,,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,,,,
664,,,,
665,,,,
666,,,,
667,,,,
668,,,,
669,,,,
670,,,,
671,,,,
672,,,,
673,,,,
674,,,,
675,,,,
676,,,,
677,,,,
678,,,,
679,,,,
680,,,,
681,,,,
682,,,,
683,,,,
684,,,,
685,,,,
686,,,,
687,,,,
688,,,,
689,,,,
690,,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,,,,
696,,,,
697,,,,
698,,,,
699,,,,
700,,,,
701,,,,
702,,,,
703,,,,
704,,,,
705,,,,
706,,,,
707,,,,
708,,,,
709,,,,
710,,,,
711,,,,
712,,,,
713,,,,
714,,,,
715,,,,
716,,,,
717,,,,
718,,,,
719,,,,
720,,,,
721,,,,
722,,,,
723,,,,
724,,,,
725,,,,
726,,,,
727,,,,
728,,,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,,,,
740,,,,
741,,,,
742,,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,,,,
749,,,,
750,,,,
751,,,,
752,,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,,,,
759,,,,
760,,,,
761,,,,
762,,,,
763,,,,
764,,,,
765,,,,
766,,,,
767,,,,
768,,,,
769,,,,
770,,,,
771,,,,
772,,,,
773,,,,
774,,,,
775,,,,
776,,,,
777,,,,
778,,,,
779,,,,
780,,,,
781,,,,
782,,,,
783,,,,
784,,,,
785,,,,
786,,,,
787,,,,
788,,,,
789,,,,
790,,,,
791,,,,
792,,,,
793,,,,
794,,,,
795,,,,
796,,,,
797,,,,
798,,,,
799,,,,
800,,,,
801,,,,
802,,,,
803,,,,
804,,,,
805,,,,
806,,,,
807,,,,
808,,,,
809,,,,
810,,,,
811,,,,
812,,,,
813,,,,
814,,,,
815,,,,
816,,,,
817,,,,
818,,,,
819,,,,
820,,,,
821,,,,
822,,,,
823,,,,
824,,,,
825,,,,
826,,,,
827,,,,
828,,,,
829,,,,
830,,,,
831,,,,
832,,,,
833,,,,
834,,,,
835,,,,
836,,,,
837,,,,
838,,,,
839,,,,
840,,,,
841,,,,
842,,,,
843,,,,
844,,,,
845,,,,
846,,,,
847,,,,
848,,,,
849,,,,
850,,,,
851,,,,
852,,,,
853,,,,
854,,,,
855,,,,
856,,,,
857,,,,
858,,,,
859,,,,
860,,,,
861,,,,
862,,,,
863,,,,
864,,,,
865,,,,
866,,,,
867,,,,
868,,,,
869,,,,
870,,,,
871,,,,
872,,,,
873,,,,
874,,,,
875,,,,
876,,,,
877,,,,
878,,,,
879,,,,
880,,,,
881,,,,
882,,,,
883,,,,
884,,,,
885,,,,
886,,,,
887,,,,
888,,,,
889,,,,
890,,,,
891,,,,
892,,,,
893,,,,
894,,,,
895,,,,
896,,,,
897,,,,
898,,,,
899,,,,
900,,,,
901,,,,
902,,,,
903,,,,
904,,,,
905,,,,
906,,,,
907,,,,
908,,,,
909,,,,
910,,,,
911,,,,
912,,,,
913,,,,
914,,,,
915,,,,
916,,,,
917,,,,
918,,,,
919,,,,
920,,,,
921,,,,
922,,,,
923,,,,
924,,,,
925,,,,
926,,,,
927,,,,
928,,,,
929,,,,
930,,,,
931,,,,
932,,,,
933,,,,
934,,,,
935,,,,
936,,,,
937,,,,
938,,,,
939,,,,
940,,,,
941,,,,
942,,,,
943,,,,
944,,,,
945,,,,
946,,,,
947,,,,
948,,,,
949,,,,
950,,,,
951,,,,
952,,,,
953,,,,
954,,,,
955,,,,
956,,,,
957,,,,
958,,,,
959,,,,
960,,,,
961,,,,
962,,,,
963,,,,
964,,,,
965,,,,
966,,,,
967,,,,
968,,,,
969,,,,
970,,,,
971,,,,
972,,,,
973,,,,
974,,,,
975,,,,
976,,,,
977,,,,
978,,,,
979,,,,
980,,,,
981,,,,
982,,,,
983,,,,
984,,,,
985,,,,
986,,,,
987,,,,
988,,,,
989,,,,
990,,,,
991,,,,
992,,,,
993,,,,
994,,,,
995,,,,
996,,,,
997,,,,
998,,,,
999,,,,
1000,,,,
